ID	Title	Date	Language	Genre	averageRating	numVotes
21913863	One Flew Over the Cuckoo's Nest	1975-11-19	"{""/m/02h40lc"": ""English Language""}"	"{""/m/0fx2s"": ""Tragedy"", ""/m/0219x_"": ""Indie"", ""/m/02m4t"": ""Existentialism"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/060__y"": ""Film adaptation"", ""/m/0q9mp"": ""Tragicomedy""}"	8.7	901128
21918632	The Hangover	2009-06-05	"{""/m/02h40lc"": ""English Language""}"	"{""/m/06qm3"": ""Screwball comedy"", ""/m/0556j8"": ""Buddy film"", ""/m/01z4y"": ""Comedy"", ""/m/01hwc6"": ""Absurdism""}"	7.7	709053
21924668	The Hypnotic Eye	1960-02-27	"{""/m/02h40lc"": ""English Language""}"	"{""/m/03npn"": ""Horror""}"	5.9	603
21939688	Invictus	2009-12-03	"{""/m/0x82"": ""Afrikaans Language"", ""/m/0dds9"": ""M\u0101ori language"", ""/m/02h40lc"": ""English Language""}"	"{""/m/017fp"": ""Biography"", ""/m/03g3w"": ""History"", ""/m/060__y"": ""Film adaptation"", ""/m/01z02hx"": ""Sports"", ""/m/07s9rl0"": ""Drama"", ""/m/0hj3mws"": ""Biopic [feature]"", ""/m/03mqtr"": ""Political drama""}"	7.3	148286
21945570	Tokyo Sonata	2008	"{""/m/03_9r"": ""Japanese Language""}"	"{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/02h8pkk"": ""Family Drama"", ""/m/07s9rl0"": ""Drama"", ""/m/03q4nz"": ""World cinema""}"	7.5	8734
21951886	The Apocalypse	2007-05-22	"{""/m/02h40lc"": ""English Language""}"	"{""/m/04p5fxn"": ""Christian film"", ""/m/06n90"": ""Science Fiction"", ""/m/0219x_"": ""Indie"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/01drsx"": ""Disaster""}"	6.5	171
21954355	Killer Party	1986-05-09	"{""/m/02h40lc"": ""English Language""}"	"{""/m/03npn"": ""Horror""}"	5.1	167
21955983	Dil Ka Kya Kasoor	1992	"{""/m/03k50"": ""Hindi Language""}"	"{""/m/03q4nz"": ""World cinema""}"	5.8	176
21956466	See Jane Date	2003	"{""/m/02h40lc"": ""English Language""}"	"{""/m/06cvj"": ""Romantic comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/01z4y"": ""Comedy"", ""/m/015w9s"": ""Television movie""}"	5.9	1544
21958806	The Temp	1993-02-12	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/09blyk"": ""Psychological thriller"", ""/m/0c3351"": ""Suspense"", ""/m/02wtdps"": ""Crime Thriller""}"	7.1	7
